Puzzle,Time,Steps
0,1.9564,1123478
1,0.137978,79937
3,1.74586,965309
4,1.61488,930207
5,0.855292,491932
6,0.200075,112350
7,1.9888,1096707
8,1.19369,709374
9,0.083467,47441
10,0.008037,4328
11,2.57531,1349418
12,0.069417,39350
13,0.406764,224289
14,0.587232,297178
15,2.59963,1334764
16,0.030245,17289
17,0.530362,276014
18,9.12771,5439895
19,0.386994,201222
20,3.05683,1678287
21,0.035027,18777
23,8.16691,4332167
25,2.21907,1225633
27,0.680721,366851
28,1.76461,981737
29,4.78662,2605683
32,15.1895,8538757
34,0.091301,49063
35,3.88958,2084188
36,4.94459,2602957
37,16.7874,8696142
38,9.57451,4738609
39,0.471254,236517
40,0.937095,502949
41,4.32078,2270780
43,3.21234,1706836
44,0.599532,328863
45,1.07175,597217
47,14.0003,7663134
48,1.12106,590160
49,12.2757,6744070
50,1.05396,562404
52,0.030298,15828
53,1.42736,741860
54,0.163473,89895
55,0.249388,140545
56,5.58778,3122471
57,0.361988,196528
58,1.29296,689826
59,0.19626,97754
60,0.339937,195603
61,0.508218,252960
62,5.15596,2704497
63,18.2572,9754253
64,0.273659,141374
65,11.3558,6423906
66,0.761029,414066
67,0.016851,8837
69,0.028927,15987
70,0.272274,141811
71,0.268429,138301
72,0.237065,127810
73,0.063265,32034
74,8.48467,4527586
76,7.37825,4114911
77,0.008219,4434
78,2.92027,1434343
79,0.479694,249374
80,10.9493,5852635
81,0.164706,92050
82,10.4484,5926369
83,3.39774,1887271
84,8.57799,4751746
85,0.100479,51985
86,0.241013,129069
87,0.305722,164064
89,1.64948,883394
90,2.14445,1129490
91,0.164383,91846
93,2.17593,1153555
94,0.028341,15302
96,0.241084,132314
99,2.11161,1210083
100,0.201729,106718
101,0.554073,315186
102,0.605627,335140
103,0.547087,307163
105,0.226351,118957
106,2.08033,1117477
107,1.30465,696352
108,0.548409,300990
109,0.056655,29313
110,0.33529,176740
111,0.022099,12600
112,0.853538,453958
113,0.403913,230736
114,9.76427,5070370
115,0.31482,169394
118,0.061365,32742
119,0.212326,119673
121,0.496839,280518
122,0.127809,68257
123,2.09987,1213993
124,1.27741,672887
125,0.008981,4761
126,0.026366,13773
127,0.385754,209969
128,1.93772,1055074
129,0.905529,487669
130,0.348402,192370
131,0.084407,47584
135,4.32583,2537291
136,0.86315,472286
137,0.025441,13548
138,0.288966,155939
139,0.278788,150984
140,0.099258,54408
141,6.92865,3567038
142,0.079733,43134
143,0.399724,225329
144,0.142557,76826
145,0.02464,12892
