Puzzle,Time,Steps
0,0.000314,180
1,0.000111,81
2,0.000727,484
3,0.000241,263
4,0.000285,262
5,0.000234,302
6,0.000553,870
7,0.000161,227
8,0.001774,3083
9,0.000381,566
10,0.000418,772
11,0.000294,280
12,0.000104,142
13,0.000253,431
14,0.000694,1259
15,0.00035,515
16,0.000504,923
17,6.8e-05,91
18,6.8e-05,82
19,8.3e-05,110
20,0.000764,1409
21,0.000199,260
22,9.7e-05,132
23,0.00016,254
24,9e-05,124
25,6.8e-05,90
26,0.000336,287
27,0.000198,214
28,0.000255,335
29,0.000271,364
30,0.000241,305
31,0.000452,525
32,0.000192,172
33,0.001065,537
34,0.000211,211
35,0.000423,407
36,0.00042,235
37,0.000622,962
38,0.000224,281
39,0.0001,143
40,0.00011,163
41,0.000233,365
42,0.000235,408
43,0.001316,1440
44,0.000437,499
45,0.000234,285
46,0.000237,91
47,0.000146,128
48,0.000733,818
49,8.4e-05,114
50,0.000204,272
51,0.000318,531
52,0.00027,453
53,7.4e-05,96
54,6.2e-05,85
55,0.000419,735
56,0.000318,341
57,6.4e-05,85
58,7.6e-05,103
59,9.8e-05,131
60,0.000491,869
61,0.000144,211
62,0.000254,239
63,0.000275,469
64,9.3e-05,87
65,0.000205,320
66,0.000372,605
67,0.000191,300
68,0.000122,174
69,9.5e-05,132
70,9.1e-05,135
71,0.000108,157
72,0.000137,231
73,0.000174,275
74,7.2e-05,104
75,6.3e-05,87
76,0.000117,179
77,9.8e-05,99
78,0.000283,457
79,6.4e-05,83
80,0.000132,201
81,0.000348,524
82,0.000227,356
83,0.000104,143
84,0.000245,146
85,0.000187,290
86,0.000207,272
87,0.000264,459
88,0.000229,381
89,0.000166,194
90,0.000595,872
91,6.6e-05,93
92,0.000131,214
93,8.6e-05,82
94,0.000144,143
95,0.000184,149
96,0.000739,770
97,0.000808,882
98,0.000121,125
99,0.000146,186
100,8.1e-05,114
101,8.9e-05,83
102,0.000243,264
103,0.000918,755
104,0.000122,116
105,0.000161,224
106,8.6e-05,96
107,0.00012,148
108,0.000236,361
109,7e-05,94
110,0.00015,224
111,0.000271,432
112,0.000914,1329
113,9e-05,122
114,0.000229,346
115,0.000112,167
116,0.000253,443
117,0.000278,478
118,0.000292,453
119,7.2e-05,92
120,0.000167,257
121,0.000192,232
122,8.8e-05,116
123,7.1e-05,95
124,9.8e-05,141
125,0.000173,288
126,0.000615,1215
127,0.000438,638
128,8.2e-05,108
129,0.00013,173
130,0.000798,1359
131,0.00026,416
132,6.8e-05,91
133,0.001307,2041
134,0.000114,141
135,7.9e-05,107
136,0.00011,162
137,0.00011,166
138,0.000725,1033
139,0.00019,275
140,0.000174,240
141,0.000135,200
142,0.000284,491
143,0.000289,517
144,0.000409,661
145,0.000122,177
146,0.000106,109
147,0.000209,226
148,0.000186,173
149,0.000115,128
150,0.000641,824
151,0.000595,679
152,0.000346,422
153,0.000211,271
154,0.000252,191
155,0.000317,385
156,0.000216,169
157,0.00017,201
158,0.000236,297
159,0.000108,123
160,0.000176,208
161,0.000223,245
162,0.001138,1612
163,0.000781,1213
164,0.000183,116
165,0.00034,484
166,0.000124,178
167,0.000256,423
168,0.000373,657
169,7.9e-05,105
170,0.000164,185
171,0.000276,472
172,0.000244,412
173,0.00051,829
174,0.000115,178
175,0.000176,281
176,0.000602,1125
177,0.000197,302
178,0.00013,181
179,8e-05,87
180,0.001152,2012
181,0.000365,598
182,0.000196,311
183,6.3e-05,84
184,0.000219,363
185,0.00049,755
186,0.000341,589
187,8.5e-05,115
188,0.00014,205
189,0.000109,121
190,0.000615,979
191,8.1e-05,109
192,0.000244,239
193,0.000321,441
194,9.9e-05,130
195,0.000238,365
196,7.9e-05,109
197,6.7e-05,89
198,0.000121,175
199,0.000234,390
200,0.000336,439
201,0.000107,115
202,0.000748,991
203,0.000346,498
204,0.000269,325
205,0.000822,1072
206,8.7e-05,84
207,0.000194,230
208,0.000284,363
209,0.000152,137
210,0.000444,513
211,0.000267,269
212,0.000161,161
213,0.000999,1508
214,0.00065,915
215,0.00013,181
216,0.00085,1434
217,0.000145,213
218,0.000274,446
219,0.000223,389
220,6.9e-05,96
221,0.000302,465
222,0.000188,305
223,7.2e-05,96
224,8.1e-05,107
225,0.000259,463
226,0.00014,218
227,0.000148,208
228,0.000203,313
229,0.00017,264
230,7.5e-05,95
231,0.000121,160
232,0.000479,810
233,6.8e-05,92
234,0.000143,214
235,0.000198,316
236,8.7e-05,128
237,8.7e-05,125
238,8.5e-05,123
239,0.001135,2085
240,0.000163,263
241,0.000253,424
242,0.000217,343
243,0.000212,331
244,0.000272,444
245,8.7e-05,121
246,7.6e-05,101
247,7.9e-05,110
248,0.000304,413
249,7.5e-05,96
250,0.000245,380
251,0.000125,185
252,9.3e-05,131
253,0.000354,636
254,0.00015,225
255,0.000132,190
256,0.000181,301
257,0.000384,607
258,0.000249,130
259,0.000794,428
260,0.000631,341
261,0.000294,228
262,0.000349,302
263,0.000226,275
264,0.000447,529
265,0.000329,398
266,0.000764,1100
267,0.000689,1018
268,9.9e-05,134
269,0.000154,230
270,0.000279,320
271,0.000201,178
272,0.001233,2236
273,0.000265,449
274,6.2e-05,85
275,0.000192,289
276,0.000316,469
277,6.9e-05,84
278,0.000117,168
279,0.000168,246
280,8.7e-05,115
281,0.00011,155
282,8.8e-05,121
283,0.000157,250
284,7.4e-05,94
285,0.00011,163
286,0.000179,295
287,0.000219,309
288,0.000239,367
289,0.000329,493
290,6.9e-05,90
291,0.000191,286
292,0.00045,803
293,0.000202,337
294,0.000129,195
295,0.000128,182
296,0.000108,153
297,0.000233,371
298,0.000301,421
299,0.000169,212
300,0.00026,419
301,8.1e-05,102
302,0.00076,1268
303,0.000459,604
304,8.2e-05,107
305,0.000263,440
306,0.000116,167
307,0.000536,920
308,0.000348,595
309,0.000147,232
310,9.7e-05,135
311,0.000152,224
312,0.000217,255
313,0.000174,199
314,0.000134,152
315,0.000571,778
316,9.3e-05,127
317,8.1e-05,110
318,0.000938,140
319,0.000436,536
320,9.9e-05,140
321,0.000154,229
322,7.5e-05,92
323,0.000141,192
324,0.000204,333
325,0.000236,412
326,0.000146,236
327,0.000109,167
328,0.000198,324
329,0.000309,537
330,0.000776,501
331,8.1e-05,103
332,0.000118,116
333,9.5e-05,131
334,0.000584,1010
335,0.000102,139
336,0.000291,406
337,7.9e-05,104
338,0.000123,175
339,0.000151,182
340,0.000258,452
341,0.000105,148
342,0.000183,283
343,0.000248,419
344,0.000107,154
345,0.000212,310
346,0.00054,924
347,0.000747,1292
348,0.000173,266
349,0.00059,1094
350,0.000199,261
351,0.000313,497
352,8.4e-05,116
353,0.000117,187
354,0.000215,341
355,0.000163,232
356,0.00024,358
357,0.00078,1393
358,0.00033,565
359,9.5e-05,132
360,0.000457,818
361,0.000303,500
362,6.8e-05,89
363,0.000177,290
364,0.000135,207
365,0.000499,715
366,0.000666,1157
367,8.9e-05,122
368,9.9e-05,142
369,6.5e-05,84
370,0.000214,369
371,0.000144,199
372,0.000297,180
373,0.000656,836
374,0.000286,386
375,0.000299,326
376,0.00018,164
377,0.000763,671
378,0.000212,249
379,0.000364,514
380,0.001333,1599
381,8e-05,110
382,0.000154,235
383,8.1e-05,103
384,0.000111,148
385,0.000102,149
386,0.000121,178
387,9.1e-05,88
388,0.000212,292
389,0.000159,250
390,0.001008,1753
391,0.000102,144
392,7e-05,93
393,0.000305,529
394,0.000124,169
395,0.000113,164
396,0.000137,212
397,0.0001,153
398,6.5e-05,82
399,0.00014,221
400,0.00043,643
401,0.000146,210
402,0.000306,380
403,0.000231,341
404,0.000656,1252
405,0.000358,525
406,0.000305,480
407,0.000246,225
408,0.000409,712
409,0.000124,178
410,0.000153,232
411,7.4e-05,95
412,0.000193,314
413,6.5e-05,84
414,0.000139,168
415,7.1e-05,92
416,0.000188,316
417,0.000208,319
418,0.000146,226
419,7.2e-05,92
420,0.000105,141
421,0.000243,388
422,0.000236,349
423,0.000131,193
424,8.3e-05,111
425,0.000617,918
426,8.5e-05,116
427,0.001093,2029
428,0.000158,255
429,0.000127,180
430,0.000129,154
431,8.6e-05,117
432,0.000448,330
433,0.000406,484
434,0.000119,140
435,0.000922,1004
436,0.000122,116
437,0.000308,189
438,0.000326,470
439,0.000194,231
440,0.000184,196
441,0.000184,211
442,0.000671,759
443,0.001312,1455
444,0.000238,327
445,7.4e-05,99
446,0.000111,165
447,0.000266,454
448,0.0002,310
449,7.1e-05,89
450,0.000206,356
451,0.000341,596
452,0.000899,1641
453,0.00034,575
454,7.8e-05,99
455,0.000197,317
456,0.000179,269
457,0.000309,476
458,0.000114,124
459,0.000285,423
460,0.000179,275
461,0.000178,260
462,0.000118,179
463,9.7e-05,137
464,0.000138,213
465,9.5e-05,136
466,0.000168,267
467,0.00029,536
468,0.001368,2501
469,7.1e-05,90
470,0.000177,279
471,0.000123,186
472,7.2e-05,97
473,0.000196,296
474,0.000601,972
475,0.001069,1913
476,0.000129,193
477,0.000144,182
478,0.000182,273
479,0.000246,366
480,6.6e-05,82
481,0.00185,1204
482,0.000271,293
483,0.000392,305
484,0.000229,206
485,9.7e-05,93
486,0.000202,243
487,0.000118,117
488,9.1e-05,97
489,0.000191,226
490,0.000103,103
491,0.000232,302
492,0.000141,233
493,0.000321,526
494,0.000216,309
495,0.000157,176
496,0.000158,244
497,0.000524,720
498,0.00036,636
499,0.000237,423
500,0.000111,151
501,7.2e-05,89
502,0.0002,256
503,0.000178,290
504,0.000109,102
505,0.000123,136
506,0.000285,345
507,0.000348,387
508,0.000107,157
509,0.000155,238
510,0.000308,532
511,0.000199,272
512,0.000179,263
513,0.000141,211
514,0.000103,142
515,0.000516,835
516,0.000198,285
517,0.00022,370
518,0.00016,253
519,0.00015,234
520,0.000363,351
521,0.000524,900
522,0.00021,332
523,0.000124,194
524,8.5e-05,125
525,0.000695,1092
526,0.000301,516
527,0.000174,274
528,0.000149,214
529,0.000356,629
530,8.1e-05,104
531,0.001879,3345
532,0.000662,468
533,0.000241,292
534,0.000319,434
535,0.000145,162
536,0.000111,120
537,0.000245,103
538,0.000612,338
539,0.000446,370
540,0.000162,118
541,0.002696,1979
542,7.8e-05,101
543,0.000209,331
544,6.7e-05,84
545,0.0001,141
546,0.000181,219
547,0.000101,130
548,0.000153,215
549,0.000192,311
550,0.000112,153
551,0.000172,271
552,9.3e-05,135
553,0.000312,519
554,0.000369,609
555,0.000254,350
556,0.000247,423
557,7.5e-05,102
558,0.000195,312
559,9.9e-05,142
560,0.00012,174
561,7.4e-05,94
562,0.000138,202
563,0.000154,210
564,0.000289,480
565,0.000166,245
566,0.000234,312
567,8e-05,109
568,0.00021,346
569,0.000238,398
570,9.4e-05,129
571,0.000153,237
572,0.001012,1951
573,9.3e-05,127
574,0.000105,152
575,0.000119,186
576,7.6e-05,103
577,8.6e-05,119
578,0.000532,974
579,0.000191,243
580,0.000222,329
581,0.000135,205
582,0.000294,435
583,0.000179,268
584,0.000323,575
585,0.000157,254
586,6.6e-05,88
587,9.1e-05,122
588,0.000159,251
589,0.000589,303
590,0.000176,178
591,0.000251,318
592,0.000185,261
593,0.000104,133
594,0.000153,232
595,0.000279,450
596,7.8e-05,101
597,0.000586,280
598,0.000173,122
599,0.000161,125
600,0.000448,366
601,0.000685,256
602,0.000475,278
603,0.000144,136
604,0.000111,123
605,0.000269,258
606,0.000135,156
607,0.002919,4185
608,0.000758,1373
609,7.9e-05,104
610,0.000242,393
611,0.000125,195
612,0.000306,367
613,7.4e-05,81
614,0.000707,1288
615,0.000102,147
616,0.000247,331
617,0.000109,160
618,7e-05,93
619,7.8e-05,105
620,0.000443,791
621,6.7e-05,86
622,0.000173,271
623,9e-05,122
624,6.6e-05,85
625,0.000386,701
626,8.2e-05,116
627,0.000383,526
628,0.000156,222
629,0.000261,408
630,0.000172,258
631,0.000127,188
632,0.000169,187
633,0.00013,198
634,0.000116,160
635,0.000186,298
636,0.000137,177
637,0.000152,214
638,0.000379,584
639,0.00029,385
640,0.000562,824
641,7.7e-05,91
642,0.000176,282
643,6.7e-05,84
644,7.1e-05,87
645,0.000191,253
646,0.000157,238
647,0.000257,403
648,9.7e-05,141
649,6.7e-05,85
650,0.000201,296
651,0.000139,195
652,0.000112,135
653,0.002881,3766
654,8.8e-05,113
655,0.000257,423
656,6.7e-05,84
657,9.5e-05,138
658,0.000623,363
659,7e-05,86
660,0.000166,260
661,0.000177,271
662,0.000195,229
663,8.2e-05,110
664,8.5e-05,119
665,0.000546,811
666,0.001024,1711
667,0.000178,222
668,0.000158,231
669,8.8e-05,120
670,0.000103,147
671,7.4e-05,102
672,8.9e-05,128
673,6.4e-05,85
674,0.000319,515
675,0.000729,1048
676,0.000951,1636
677,0.000182,277
678,8.2e-05,107
679,0.000371,561
680,0.000485,791
681,0.000323,541
682,0.000127,181
683,9.7e-05,133
684,0.00016,264
685,8.7e-05,116
686,0.00033,552
687,7.7e-05,83
688,0.00016,256
689,0.000249,399
690,0.000171,246
691,0.00029,382
692,0.000282,425
693,0.000119,128
694,0.000146,157
695,0.000469,871
696,7.9e-05,87
697,0.000123,177
698,0.00021,325
699,0.00016,198
700,0.000121,168
701,0.000471,717
702,0.000139,209
703,0.000163,230
704,7.2e-05,95
705,0.000315,459
706,0.000171,266
707,9.7e-05,138
708,8.2e-05,113
709,0.000282,129
710,0.000764,1029
711,8.1e-05,93
712,0.000539,480
713,0.000146,163
714,0.000162,200
715,0.000108,153
716,0.000295,429
717,7.8e-05,83
718,0.000908,1160
719,0.000229,333
720,0.000145,212
721,0.000228,335
722,0.000193,308
723,0.000153,218
724,0.000134,201
725,9.3e-05,112
726,0.000848,1389
727,9e-05,122
728,0.000139,213
729,8.4e-05,112
730,0.000144,225
731,0.000117,176
732,0.000189,309
733,8.1e-05,111
734,0.001028,1693
735,0.000335,619
736,0.000123,192
737,0.000192,297
738,8.7e-05,109
739,0.000175,284
740,0.000151,240
741,0.000114,151
742,0.000337,478
743,0.000123,178
744,7.3e-05,100
745,9e-05,126
746,0.000101,142
747,0.000144,221
748,0.000455,707
749,0.000167,245
750,0.000268,403
751,0.000243,348
752,0.000143,210
753,0.000157,191
754,0.002581,3415
755,0.000191,308
756,0.000113,159
757,8.3e-05,101
758,0.000109,158
759,0.000182,322
760,8.6e-05,114
761,9.3e-05,126
762,0.000326,547
763,0.000172,244
764,0.000304,442
765,0.000135,187
766,7.3e-05,97
767,0.000902,1570
768,0.000105,145
769,9.2e-05,134
770,0.000179,291
771,0.000252,361
772,0.000768,1248
773,0.000702,1148
774,0.000194,151
775,0.000425,630
776,0.000489,845
777,0.000103,140
778,8.6e-05,115
779,7.6e-05,100
780,0.000617,1159
781,0.000202,322
782,0.000361,529
783,6.8e-05,87
784,0.000147,227
785,0.000182,284
786,0.000148,213
787,8.8e-05,122
788,0.000145,213
789,0.00012,159
790,0.0001,135
791,0.000132,211
792,0.00046,620
793,6.2e-05,81
794,6.4e-05,84
795,0.00012,174
796,9.7e-05,134
797,0.000154,252
798,0.000171,278
799,0.000102,91
800,0.000189,308
801,0.000116,157
802,0.000166,259
803,0.000164,249
804,8.2e-05,95
805,8.6e-05,120
806,0.000355,643
807,0.00011,164
808,0.000212,366
809,0.000264,398
810,0.000379,633
811,0.00031,470
812,0.000633,557
813,0.000156,162
814,9.5e-05,90
815,0.000336,423
816,0.000203,201
817,0.000247,281
818,0.000305,339
819,0.000649,849
820,0.000578,784
821,0.00048,575
822,0.000217,186
823,0.000127,113
824,9.2e-05,99
825,9e-05,99
826,0.000243,283
827,0.000278,349
828,0.000239,340
829,0.000175,278
830,0.000384,270
831,0.000562,693
832,0.000378,499
833,0.000117,120
834,0.000152,167
835,0.000276,318
836,0.00048,550
837,0.00013,141
838,0.000173,299
839,0.000153,236
840,0.0001,110
841,0.000126,122
842,0.000301,494
843,0.000312,518
844,0.000227,364
845,0.000135,141
846,0.001463,2703
847,0.000109,116
848,0.000301,422
849,0.000165,226
850,0.000269,302
851,0.00013,188
852,0.001633,2736
853,0.000843,1479
854,0.000115,155
855,0.000154,234
856,0.000176,275
857,0.000127,190
858,0.000538,520
859,0.000305,380
860,0.002596,4791
861,8.5e-05,112
862,0.000511,923
863,9.4e-05,126
864,0.000852,1501
865,0.000124,179
866,6.5e-05,85
867,8e-05,110
868,0.000121,178
869,0.000132,178
870,0.000125,188
871,0.000414,659
872,8.1e-05,110
873,0.000114,175
874,0.000143,225
875,0.000127,180
876,0.000103,149
877,0.000173,294
878,0.000108,153
879,0.000422,744
880,6.7e-05,92
881,0.000449,675
