Puzzle,Time,Steps
0,0.002323,4739
1,0.001253,2539
2,0.002725,5611
3,0.000166,285
4,0.00086,1624
5,0.00668,13041
6,0.000163,283
7,0.00052,911
8,0.000758,1354
9,0.000438,890
10,0.001265,2470
11,0.000576,1131
12,0.00178,3356
13,0.003601,8414
14,0.000452,785
15,6.2e-05,94
16,0.025607,50734
17,0.00015,225
18,0.000121,201
19,0.000352,691
20,0.000484,1005
21,0.000384,815
22,0.001248,2208
23,0.000394,921
24,0.00035,630
25,0.002489,5145
26,8.8e-05,145
27,0.000453,770
28,0.00018,337
29,0.001064,2113
30,0.000326,669
31,0.015205,33055
32,0.001278,2625
33,0.007784,17741
34,0.000291,489
35,0.00028,488
36,0.001534,3200
37,0.000136,184
38,0.000139,234
39,0.000448,868
40,8.5e-05,135
41,0.000321,598
42,0.000989,2153
43,0.000702,1411
44,0.001157,1925
45,0.013021,29364
46,0.000534,1217
47,0.000375,774
48,0.019593,43954
49,0.000599,1385
50,0.000237,460
51,0.002786,5937
52,0.000909,1906
53,0.003203,6944
54,0.001,2008
55,9.2e-05,144
56,0.002652,5556
57,0.000162,322
58,0.005456,10476
59,0.000837,1771
60,0.000238,464
61,0.004607,10258
62,9.7e-05,172
63,0.000743,990
64,0.001408,2702
65,0.008942,20744
66,0.000315,585
67,0.002765,6011
68,0.00161,3400
69,0.00021,357
70,0.00531,11378
71,0.000161,329
72,0.000898,1671
73,0.000184,332
74,0.002558,5755
75,0.007097,14872
76,0.003308,6708
77,0.002022,4332
78,0.003986,9056
79,0.000579,1109
80,0.000279,537
81,0.000193,334
82,0.000344,629
83,0.001036,2341
84,0.005867,11190
85,0.001319,2535
86,7.9e-05,114
87,0.000727,1391
88,0.000312,519
89,0.011767,26320
90,0.001204,2344
91,0.000157,302
92,0.000918,1641
93,0.001067,2115
94,0.000428,627
95,0.003991,8370
96,0.003757,8581
97,0.000116,187
98,0.000112,196
99,0.000378,723
100,0.00017,311
101,0.000222,413
102,0.000414,768
103,0.00112,2393
104,0.000243,438
105,0.002451,5432
106,0.006358,13305
107,0.009359,18490
108,0.000113,203
109,0.000531,990
110,0.001351,2623
111,0.001688,3725
112,0.000364,831
113,0.000603,1178
114,0.000165,291
115,0.00198,4048
116,0.002385,4799
117,0.00051,1013
118,0.004854,8321
119,0.000429,816
120,0.000938,1822
121,0.001085,2247
