Puzzle,Time,Steps
0,0.245757,536982
1,0.068409,138800
2,2.29951,4420885
3,0.038129,74134
4,8.52684,17397185
5,0.194337,387325
6,0.009586,19294
7,0.038857,88215
8,1.1485,2515457
9,0.009173,17857
10,0.924077,1609004
11,0.21974,455253
12,0.00024,451
13,0.037499,73025
14,0.043317,96460
15,0.119293,260874
16,0.105508,193857
17,0.050097,95308
18,0.014256,27084
19,0.016665,33604
20,1.28524,2531883
21,0.147158,296753
22,7.33368,15337084
23,2.28451,4376939
24,3.9777,8326178
25,0.347505,802510
26,23.3082,52079939
27,0.021819,45320
28,0.094486,207088
29,0.03345,74625
32,7.61264,17721119
33,2.28071,4973594
34,0.004959,10842
36,0.568675,1198205
37,0.847479,1879248
38,0.217738,435586
39,0.011013,21078
40,0.088289,195985
41,0.131889,274550
43,0.576266,1231224
44,0.035141,77540
45,0.043136,97065
46,0.074827,158743
47,0.039538,86878
48,0.05687,125502
49,0.73828,1669779
50,18.3779,37076822
51,6.0011,13009502
52,0.011326,26236
53,0.308691,718466
54,0.01116,24198
55,0.023821,50201
56,0.91456,2099930
57,0.124384,273221
58,3.31129,7334404
59,0.043247,96419
60,0.026823,59448
61,32.6907,77018444
62,0.156647,294606
63,1.11672,2363901
64,0.02294,49958
65,0.100818,209299
66,0.185908,417873
67,0.005898,12134
68,1.37493,2991749
69,0.065527,143895
70,0.026177,58320
71,0.268951,596383
72,0.02364,55392
73,0.040182,92294
74,0.322286,665561
75,0.535558,1051426
76,0.256,505470
77,0.05029,104217
78,2.12954,5116237
79,0.059172,116259
80,0.779018,1650346
81,0.005332,11980
82,0.873994,1714135
84,0.044274,93858
85,0.206705,422581
86,0.043805,96765
87,0.007724,17269
88,23.0973,46301525
89,0.121494,246456
90,3.32469,7930857
91,0.011602,23224
92,0.11098,233368
93,0.074655,155271
94,0.022908,44912
95,1.95217,4494535
96,0.005594,12324
98,4.137,8607027
99,0.036618,81120
100,0.000624,1220
101,0.042036,91913
102,1.10586,2505549
103,0.040008,88653
104,2.66914,5948436
105,0.038464,87785
106,0.099857,221672
107,0.225489,500237
109,8.42328,18175863
110,0.037173,79515
111,0.00167,3484
112,0.042856,94032
113,0.020058,45684
114,1.79749,4168667
115,0.358414,745068
117,6.10727,12951796
118,0.026062,63606
119,0.01046,22517
121,0.689192,1398956
122,0.032826,51640
123,0.065495,137102
124,20.3445,45429893
125,0.000376,651
126,0.020749,44605
127,0.045082,87365
128,0.030958,63874
129,0.363847,768071
130,0.3275,729462
131,0.019005,16838
132,4.43759,9189751
133,1.51312,3313415
134,16.5733,34928158
135,0.416363,911355
137,9.48092,19845236
138,0.55666,1337260
139,0.006629,12221
140,0.006063,11233
141,0.151303,320662
142,0.511817,1120251
143,4.98994,10640589
144,0.004352,9366
145,0.064137,134982
146,0.880064,1986242
147,2.01023,4072262
149,8.45217,18608787
150,0.335571,736694
151,8.61756,18449132
152,0.450433,911306
153,0.004495,9782
154,20.6729,43650730
155,33.2217,70619044
156,1.02117,2285656
157,2.4526,5498653
158,0.147714,333741
159,0.014545,28992
160,0.027156,54652
161,0.014069,28799
162,0.346061,744508
163,0.00183,3623
164,0.000337,623
165,0.055348,121300
166,1.43307,3066032
167,0.013713,27347
168,7.3336,18242987
169,11.36,23482198
171,0.016781,38122
172,0.728253,1548236
173,0.019541,35398
174,0.02278,47656
175,0.009015,18129
176,5.11959,10848081
177,0.728837,749589
178,3.57177,8008797
179,0.223481,474387
180,0.894952,2093499
181,0.872987,1565540
182,0.017842,33747
183,0.158094,346900
184,0.007327,14208
185,16.031,34049581
186,2.09153,4336862
187,24.9602,51327219
189,0.006346,12852
190,0.142328,295272
193,0.033485,72939
194,30.1323,68950617
195,0.000295,600
196,0.051916,106751
197,0.792863,1563674
198,0.841817,1899079
199,7.56417,16647456
200,2.16245,5211468
201,0.012761,28500
202,3.54176,8533743
203,0.000852,1803
204,0.921823,1953832
205,14.0356,29085983
206,0.00398,7581
207,0.031599,67368
208,15.1419,31358748
209,0.045033,92501
210,0.944869,1980663
212,0.216158,444237
213,0.011466,18506
214,0.080014,152401
215,0.066824,128703
216,0.000203,317
217,0.063881,135337
218,0.476218,955660
219,0.466552,750833
220,0.012039,24298
221,1.02701,2196886
222,13.1329,26121852
223,9.10602,21048579
224,0.005449,12410
225,0.015617,25814
226,0.179627,359858
227,2.4352,4824342
228,0.282838,599171
229,0.011535,25872
230,0.009437,17391
231,0.002715,5955
232,6.3327,11964528
233,0.166828,342904
234,2.20829,4181381
235,8.8289,14503950
236,3.2017,6016301
237,0.24597,422888
238,3.4369,6035249
239,0.007949,16596
241,0.000168,229
242,0.013469,27038
243,0.553519,1127303
244,0.073122,120129
245,3.75069,6191609
246,0.116793,167987
247,0.492841,714679
248,0.286612,492474
249,0.021932,39241
251,0.092705,188462
252,6.67852,12558343
253,0.342612,629202
254,0.44554,895517
255,0.207594,376755
256,0.170742,328272
258,0.01975,43493
259,0.00355,7064
260,0.00707,15730
261,0.035524,70575
262,1.804,4210078
263,0.091908,201661
264,0.361586,762005
265,0.082224,158463
266,1.54967,3373992
268,0.051889,107522
269,0.590002,1226418
270,1.66327,2731574
271,1.93389,3477119
273,0.036352,73795
274,0.011008,23012
275,0.029457,65705
276,0.460885,1045770
277,0.04885,104859
278,0.868559,1885886
279,0.276601,567070
280,0.004238,8475
281,2.59662,5621500
282,0.071826,147625
283,0.000327,637
284,0.00016,252
285,0.170942,361999
286,0.635224,1293937
287,0.006483,12192
288,0.041285,92603
289,0.966863,2134701
290,2.08267,4263289
291,0.202912,458826
292,0.077047,172326
293,0.049125,109539
294,0.465198,1070956
296,0.523735,1201884
297,0.405544,843332
298,0.000472,881
299,1.58116,3484006
300,2.041,4370001
302,8.25133,18123870
303,0.023831,48782
304,0.05007,98847
305,0.041469,79969
306,0.001682,3380
307,0.151978,265792
308,0.012937,26882
309,0.001476,3213
310,0.113199,172917
311,0.002391,4397
312,6.43332,11747554
313,0.323248,642251
315,0.002205,5049
316,0.006481,13699
317,0.01952,36998
318,1.65304,3844210
319,0.09834,209146
320,2.94199,6098426
321,0.041524,90467
322,0.312309,650759
323,0.055614,111138
324,0.033662,70912
325,2.1797,4873917
326,0.000699,1431
327,0.012671,25296
329,2.38582,5464950
330,1.56929,3396727
331,1.98548,4526733
332,1.28073,2727518
333,0.03532,75023
334,0.90588,1976159
335,0.012328,22438
336,0.018419,38555
337,0.596278,1268207
338,0.109956,231168
339,0.023502,46376
340,0.054368,111807
341,0.780396,1737516
342,0.018344,35099
343,2.59377,5943103
