Puzzle,Time,Steps
0,0.043323,125333
1,0.038533,122853
2,0.019654,60835
3,0.015084,31383
4,0.002577,7429
5,0.000266,697
6,0.002144,6661
7,0.002278,6427
8,0.008322,25539
9,0.012205,36671
10,0.011636,35067
11,0.003142,8855
12,0.009348,29073
13,0.017143,56733
14,0.019489,65003
15,0.11224,381537
16,0.001348,3395
17,0.012088,36265
18,0.000541,1225
19,0.083208,268223
20,0.03332,102723
21,2.59831,7606047
22,0.060013,195603
23,0.00333,10925
24,0.499167,1484011
25,0.002348,6533
26,0.006682,19533
27,2.21555,6401725
28,0.421772,1253905
29,0.141127,407627
30,0.007638,24151
31,0.063175,183395
32,0.0339,110435
33,0.018951,63687
34,0.057411,161123
35,0.229556,647023
36,0.000283,557
37,0.214564,603671
38,0.023103,65139
39,0.006025,19095
40,0.025718,75121
41,0.037195,140009
42,0.442561,1305957
43,0.000832,2355
44,0.005973,18241
45,0.001038,2975
46,0.00863,28519
47,0.003489,11217
48,0.01356,41511
49,0.023218,77519
50,0.051534,152307
51,0.177329,484795
52,0.264569,740555
53,0.009233,26799
54,0.00476,14679
55,0.001397,3993
56,0.030143,90483
57,0.005265,17549
58,0.029205,88159
59,0.034024,101255
60,0.112416,420123
61,0.285777,861723
62,0.015085,47609
63,0.038854,112935
64,0.001576,4651
65,0.00062,1757
66,0.002244,6769
67,0.002635,8471
68,0.028526,76817
69,0.016237,50469
70,0.172973,540535
71,0.000748,1995
72,0.007356,22447
73,0.011789,37017
74,0.152344,402865
75,0.086959,251481
76,0.447191,1336149
77,0.365445,1091869
78,2.30422,6971471
79,0.040915,127547
80,0.031858,112109
81,0.013564,44231
82,0.089443,287259
83,0.000776,2203
84,0.001165,3297
85,0.007776,25317
86,0.830573,2422263
87,0.003821,12083
88,0.023005,70885
89,0.047137,148095
90,0.00752,22911
91,0.019212,67797
92,0.002825,8547
93,0.05518,168443
94,0.061034,171661
95,0.017967,52375
96,0.129342,352899
97,0.015545,45555
98,0.001838,5797
99,0.013962,39555
100,0.011865,37229
101,0.000219,453
102,0.005568,16631
103,0.028182,93317
104,0.000368,845
105,0.001153,3609
106,0.027586,73095
107,0.01388,42593
108,0.005523,16325
109,0.001493,4707
110,0.284582,773833
111,0.520646,1610507
112,11.7441,36870655
113,0.063182,179601
114,0.001336,3907
115,0.010231,31049
116,0.011262,35395
117,0.02648,84155
118,0.000784,1457
119,10.92,30886887
120,0.059156,171787
121,2.30321,6260351
122,0.029699,103239
123,0.000854,2437
124,3.24028,8613813
125,0.001473,4151
126,0.045699,142219
127,0.007921,23561
128,0.826528,2333897
129,0.080738,267429
130,0.001242,3449
131,0.126081,390623
132,0.022519,65075
133,0.755007,2055291
134,0.009322,26847
135,0.017941,57407
136,0.000388,1075
137,0.000168,475
138,0.00674,15229
139,0.000948,2301
140,1.07407,3128825
141,0.02383,56923
142,0.00037,817
143,0.003233,9163
144,0.139125,372465
145,0.005543,15135
146,0.361518,1064861
147,0.039094,113147
148,0.007779,22505
149,0.10396,314789
150,0.000612,1851
151,0.041595,130637
152,0.08314,251209
153,0.024505,66223
154,0.020059,45291
155,0.012933,36321
156,0.002446,7571
157,0.327104,890787
158,0.004618,13795
159,0.002228,6839
160,0.023729,75187
161,0.086634,238925
162,0.000353,1047
163,9.65679,27041003
164,1.12972,2893167
165,0.007842,24139
166,0.395802,1033847
167,0.154043,440771
168,0.023818,76451
169,0.003357,8747
170,0.088624,258903
171,0.044656,141495
172,0.436678,1086051
173,0.184144,587135
174,0.001211,3921
175,0.002564,6197
176,0.002338,6637
177,0.476135,1288727
178,0.013985,48061
179,0.00337,10085
180,0.127984,385219
181,0.007884,24057
182,0.259212,735661
183,0.028486,87175
184,0.054394,160021
185,0.031445,100885
186,23.8392,68273867
187,0.047818,144471
188,0.188873,583041
189,0.011419,41189
190,0.003301,6367
191,0.026887,86691
192,0.00529,10981
193,0.46784,1382279
194,0.044875,133633
195,0.009211,27945
196,0.005052,13513
197,0.051979,156963
198,0.055548,135657
199,0.062263,177547
200,4.3124,11886153
201,0.003807,9229
202,0.984227,3194813
203,0.059294,158643
204,0.039614,111363
205,0.003344,9743
206,0.038218,107643
207,0.084177,252951
208,0.057278,165409
209,0.001075,2875
210,0.0367,120473
211,0.192866,558141
212,0.018392,54919
213,0.004236,12267
214,0.118971,298285
215,0.023621,48561
216,0.5816,1497069
217,0.030813,88063
218,0.001911,4759
219,0.144129,375423
220,0.063649,198349
221,0.039784,109091
222,0.002874,8725
223,0.002562,6785
224,0.025125,70527
225,0.016662,45371
226,0.021656,53725
227,0.025797,64855
228,0.001542,5101
229,0.013146,35823
230,0.010915,29871
231,0.004465,12355
232,0.721085,1918373
233,0.006219,17971
234,0.123673,316021
235,0.05729,158931
236,0.001705,5271
237,0.062648,172571
238,0.001057,3141
239,0.012628,34665
240,0.850272,2328865
241,14.898,39699907
242,0.000191,361
243,0.023248,71855
244,0.001449,4359
245,0.028257,82051
246,0.00104,3093
247,0.179992,472619
248,0.060442,180455
249,0.111766,284007
250,0.119631,339137
251,2.68365,7632735
252,0.362063,1030433
253,1.43538,4234529
254,0.00197,5039
255,0.010869,32841
256,0.024484,72433
257,0.002767,8203
258,0.882073,2478465
259,0.001429,4453
260,0.10413,269555
261,0.014729,41855
262,0.193084,521777
263,0.020688,58511
264,0.006326,16873
265,0.004538,12897
266,0.000912,1941
267,0.921221,2776631
268,0.168456,442475
269,0.001423,4207
270,0.006122,18435
271,0.001644,4397
272,0.718044,2044461
273,0.063037,183129
274,0.018917,55343
275,0.0107,33033
276,0.000299,747
277,0.167601,571307
278,0.000815,1813
279,0.0088,26919
280,1.03931,3100611
281,0.211114,561719
282,0.036638,98043
283,0.093264,248157
284,0.001667,4783
285,0.009753,27573
286,0.037338,107559
287,0.020066,60095
288,0.032192,83751
289,0.003375,10117
290,0.017306,54325
291,0.005743,15325
292,0.076076,247717
293,0.238543,713481
294,0.000643,1789
295,0.119287,356707
296,0.096994,261099
297,0.033247,94323
298,0.053841,193071
299,0.233694,674719
300,0.041121,121881
301,0.001714,4821
302,3.68851,9815599
303,0.092487,248477
304,0.024271,77329
305,0.015724,46565
306,0.022644,53269
307,0.005798,18295
308,0.003779,12435
309,0.00557,16277
310,0.126406,417705
311,0.114475,323761
312,0.029281,87305
313,0.009325,26863
314,0.000528,1451
315,0.001054,2935
316,0.006619,19003
317,0.053585,135261
318,0.094788,283919
319,0.045033,122895
320,2.54397,6859899
321,0.007724,21893
322,0.667752,1853655
323,0.000365,937
324,0.117493,276389
325,0.028749,90303
326,0.105774,308875
327,0.922213,2404181
328,0.109132,273125
329,0.388213,1099009
330,0.001375,3715
331,0.181717,534491
332,0.946908,2404927
333,0.004083,11251
334,0.020718,60937
335,0.105574,222083
336,0.019407,36399
337,0.958979,2674193
338,0.0004,1071
339,0.456579,1235687
340,0.041709,118565
341,0.013298,31659
342,0.015985,46633
343,0.032957,80225
344,0.130729,355507
345,0.07008,180389
346,0.3434,945573
347,0.057384,172105
348,0.063509,190211
349,0.004333,13521
350,0.002757,8361
351,0.037153,109885
352,0.011033,30619
353,0.00267,7873
354,0.023484,71679
355,0.016202,52383
356,0.028361,86385
357,0.001225,3941
358,0.057623,170737
359,0.021368,61593
360,0.010573,33855
361,0.035177,103601
362,0.068831,203333
363,0.030613,93099
364,0.004018,12689
365,0.677605,1671201
366,0.58703,1517323
367,0.056661,158349
368,1.89553,5369311
369,0.05637,130307
370,0.000493,1281
371,0.146746,379225
373,0.018783,57047
374,17.2029,50532821
375,0.667142,1859739
376,0.231186,624003
377,0.375034,1050181
378,0.015929,32855
379,0.010328,31435
380,0.00238,4483
