Puzzle,Time,Steps
0,0.000358,353
1,0.000143,161
2,0.000645,879
3,0.000397,607
4,0.001398,2115
5,0.00068,1059
6,0.000472,717
7,0.000774,1251
8,0.001109,1651
9,0.000539,927
10,0.000549,905
11,0.000911,1563
12,0.000478,753
13,0.000244,401
14,0.002494,3715
15,0.000415,657
16,0.001666,2839
17,0.000117,167
18,0.000384,497
19,0.000259,401
20,0.004519,8223
21,0.000243,439
22,0.000107,189
23,0.000245,435
24,0.0001,173
25,0.000114,195
26,0.000231,419
27,0.000235,463
28,0.000705,1377
29,0.000729,1093
30,0.000923,1767
31,0.000343,639
32,0.000429,765
33,0.00078,1439
34,0.000163,299
35,0.001864,3617
36,0.000655,627
37,0.000219,309
38,0.000372,585
39,0.000451,817
40,0.000147,265
41,0.000349,637
42,0.000245,475
43,0.015872,32319
44,0.000227,397
45,0.000218,415
46,0.000141,243
47,0.003097,5845
48,0.001326,2601
49,0.00095,1807
50,0.001924,3777
51,0.000386,779
52,0.000303,549
53,0.001136,2257
54,9.4e-05,161
55,0.000856,1765
56,0.000669,1307
57,0.000103,175
58,9.8e-05,169
59,0.000292,391
60,0.000718,1335
61,0.001026,1957
62,0.000234,275
63,0.000331,629
64,0.002823,5905
65,0.000234,427
66,0.000225,327
67,0.000246,449
68,0.000332,637
69,0.000159,271
70,0.000531,1025
71,0.000167,291
72,0.000292,617
73,0.000245,339
74,0.000282,513
75,0.000102,173
76,0.000246,445
77,0.000134,241
78,0.001578,3111
79,9.8e-05,165
80,0.01136,23723
81,0.000342,635
82,0.000362,693
83,0.001309,2623
84,0.000194,353
85,0.000161,291
86,0.000509,595
87,0.000821,1369
88,0.000852,1281
89,0.000222,251
90,0.000277,479
91,0.000141,165
92,0.000331,365
93,0.000144,229
94,0.000143,265
95,0.000135,239
96,0.000752,1421
97,0.00038,719
98,0.000584,1125
99,0.000696,1485
100,0.000108,181
101,0.00033,395
102,0.00068,1219
103,0.000221,409
104,0.000116,199
105,0.000529,999
106,0.000534,1035
107,0.000653,1385
108,0.000704,1251
109,9.5e-05,161
110,9.9e-05,167
111,0.000277,485
112,0.001025,2011
113,0.000213,361
