Puzzle,Time,Steps
0,2.6141,4626581
1,0.001731,2899
2,0.489387,924845
3,2.37975,4459243
4,0.056398,105307
5,0.055917,103475
6,0.119134,204559
7,0.02595,46737
8,0.218205,402077
9,9.17851,17955701
10,0.075134,137195
11,0.010218,20385
12,0.016379,30695
13,0.034209,65129
14,0.149441,294853
15,0.281526,609473
16,0.183511,337887
17,0.130299,269279
18,0.254678,489825
19,0.013472,24533
20,5.31089,9808607
21,0.024784,48965
22,0.001424,2373
23,0.629345,1170545
25,0.12545,237997
26,0.698413,1301903
27,0.097188,187013
28,0.01541,28853
29,0.10284,187011
30,0.115583,222055
31,0.040471,74731
32,0.162578,310035
33,0.007818,14403
34,0.032445,58861
35,0.474067,873573
36,0.280133,526963
37,0.000334,587
38,0.015371,31219
39,0.238127,438853
40,0.024821,47581
42,0.005057,8693
43,0.111973,207483
44,0.002265,4429
45,0.001002,1955
46,2.59196,5112001
47,0.04965,94931
48,0.00295,5555
49,0.737143,1380945
50,0.04904,93599
51,2.12032,3760269
52,1.60444,2967687
53,0.090934,176649
54,0.160919,265455
55,0.022504,37385
56,0.115983,217911
57,0.057905,104309
58,0.11745,230257
59,0.131813,238981
60,0.072546,119191
61,0.932357,1624771
62,0.275286,534615
63,1.88384,3542897
64,0.158336,297377
65,0.001045,2041
66,0.018529,35931
67,0.044718,88237
68,0.771323,1595917
69,0.0122,25519
71,8.63243,16368845
72,0.00094,1809
73,0.215462,421763
74,0.014703,28579
75,0.159098,305891
76,0.05747,112047
77,0.009616,17707
78,0.034904,70083
79,0.065438,126419
80,0.00808,14753
81,0.002213,4451
82,0.004282,7873
83,0.010427,19705
84,1.22242,2309241
85,0.055089,105147
86,4.73548,9110851
87,0.010761,17651
88,0.019685,37401
89,2.49245,4451637
90,0.235452,428015
91,0.091312,167359
92,0.163418,326429
93,0.008567,17097
94,26.9825,51109987
95,0.000308,539
96,0.409132,780589
97,0.20972,391581
98,0.287875,594045
99,5.88505,11381987
100,0.001594,2949
101,0.036059,72241
102,0.026403,52227
103,0.015633,28443
104,0.000943,1291
105,0.272078,504807
106,0.334415,617269
107,5.27818,9734599
108,0.422326,753321
109,0.02893,55467
110,0.599298,1057405
111,0.0392,78683
112,0.229555,430691
113,0.000181,277
114,0.031811,58121
115,0.37745,733469
116,0.119558,244301
117,0.099457,191733
118,0.186987,374125
119,0.051737,101351
120,0.005536,10229
121,0.15453,293087
122,0.035915,71017
123,0.010512,21061
124,0.000619,1173
125,0.001169,2093
126,8.58553,16117213
