Puzzle,Time,Steps
0,0.029467,110208
1,0.002348,6772
2,0.027585,89896
3,7.1e-05,152
4,0.003298,11970
5,0.040487,147633
6,0.003492,12110
7,0.010475,38030
8,0.00361,14186
9,0.494709,1684077
10,0.018027,68854
11,1.97412,7402558
12,0.001405,5044
13,0.126123,447784
14,0.029265,95734
15,0.006144,22352
16,0.000571,1761
17,0.087134,327261
18,0.006452,23335
19,0.004454,14114
20,0.010801,39744
21,0.000959,3212
22,0.046832,170154
23,0.040304,134086
24,0.068559,241073
25,0.012041,45230
26,2.08971,7445554
27,0.567398,1869935
28,0.025478,86352
29,0.076192,269827
30,0.00486,18367
31,0.003854,13416
32,0.001495,5075
33,0.008205,29742
34,0.000237,563
35,0.000621,2121
36,0.052032,172630
37,0.062185,208978
38,0.441157,1464222
39,0.009199,32633
40,0.67653,2502143
41,0.022343,76981
42,0.327659,1161082
43,0.002862,9824
44,0.007003,24947
45,0.233588,694751
46,0.004744,18087
47,0.003309,11294
48,0.229058,921499
49,0.00013,311
50,0.004396,16286
51,44.4127,156691355
52,0.174033,627959
53,0.00671,22664
54,0.016756,62311
55,0.00226,8594
56,0.001361,3883
57,0.001193,3471
58,0.000676,1489
59,0.001677,4768
60,0.197841,659064
61,0.003151,10959
62,0.000546,1727
63,0.001842,6188
64,0.006893,26039
65,0.13004,502963
66,0.001755,5690
67,0.001098,3564
68,0.002222,8190
69,0.010357,38273
70,0.00653,25482
71,0.008923,29435
72,0.003898,14606
73,0.001562,5314
74,0.005279,19534
75,0.004358,15234
76,0.109754,375379
77,1.11771,3498421
78,0.141628,548976
79,0.003097,9193
80,0.001029,2960
81,9.2e-05,212
82,0.000349,1088
83,0.170397,679647
84,0.003,9906
85,0.000604,1921
86,0.006246,20489
87,0.094849,359412
88,0.054137,174586
89,0.005495,18766
90,0.001545,5287
91,1.06146,3666526
92,0.001272,4164
93,0.058832,218193
94,0.00658,22058
95,0.061724,226301
96,1.22138,4572350
97,0.289417,929906
98,0.028239,96336
99,0.004011,14112
100,0.357436,1219031
101,0.011257,41699
102,0.004452,13315
103,2.27252,7747755
104,0.005321,19214
105,2.04209,7309293
106,0.096307,364218
107,0.003454,12691
108,0.00116,3958
109,0.008248,30898
110,0.017725,70293
111,0.032272,109040
112,0.382127,1306725
113,0.000778,2699
114,0.003177,11410
115,0.000233,706
116,0.001867,5056
117,1.89422,6822321
118,0.011658,40682
119,0.001772,6481
120,0.069727,258027
121,0.009875,34998
122,0.000191,528
123,0.280316,1124809
124,0.024677,87961
125,0.000574,1858
126,0.000156,414
127,0.001643,5892
128,0.003212,10452
129,0.000468,1436
130,0.047552,175506
131,0.12913,432953
132,0.003675,12391
133,0.011279,34655
134,0.001234,4158
135,0.000438,1460
136,0.08472,311287
137,0.896003,3306908
138,0.041006,144235
139,0.013482,46236
140,0.009899,32889
141,0.000906,2988
142,7.8e-05,141
143,0.006056,21955
144,0.161078,574547
145,0.029767,106731
146,0.003672,12328
