Puzzle,Time,Steps
0,0.000689,1815
1,0.41323,1258358
2,0.008032,27297
3,6.8061,19579370
4,3.78797,11660151
5,4.80358,13159624
6,0.561134,1618456
7,0.086417,245234
8,0.025919,78894
9,0.028737,99383
10,0.000807,2357
11,4.63728,14577400
12,0.092773,268899
13,0.00145,4517
14,0.261333,743963
15,19.8168,62893695
16,0.005225,16042
17,0.001488,4895
18,0.022394,71641
19,0.005305,15462
21,0.003299,9989
22,0.119596,329444
23,0.152794,494330
24,25.9553,77618869
25,0.137463,432807
26,12.474,34852521
27,2.19344,6476961
28,0.023274,78032
29,0.000279,808
30,8.09551,23159954
31,0.831384,2603205
32,0.007942,24633
33,4.6897,14389055
34,0.496312,1526464
35,0.014068,48188
37,17.5886,54497503
38,0.075445,219347
39,0.001068,2646
40,0.031112,103841
41,0.205181,607723
42,7.75619,21222576
43,0.010451,30013
44,0.00132,3239
45,0.012025,35986
47,0.004078,12155
48,8.40867,23579959
49,0.000418,927
50,0.082244,220655
52,0.01091,37058
53,0.353967,1088863
54,1.46485,4183922
55,1.36132,4076252
56,1.86661,5798222
57,1.14895,3376982
59,15.712,43657588
60,0.016838,37793
61,0.270009,768609
62,2.26435,6023996
63,0.597545,1809858
64,0.447666,1253969
65,0.045528,142893
66,0.116382,288125
67,0.077953,202397
68,0.048576,164806
69,0.520422,1517808
70,1.51692,4265843
71,0.060594,188866
72,12.5466,37036077
73,0.001934,5869
74,0.062803,206524
75,17.7827,53647794
76,0.0828,269441
77,0.002684,7120
78,0.609354,1900220
79,0.021173,72513
80,0.132758,404063
81,7.48492,23951273
83,0.062127,190113
84,0.960121,2873982
85,0.000554,1804
86,0.138444,383996
87,0.060941,179167
88,24.4579,75729908
89,0.00662,21406
90,0.000798,2473
91,8.52864,25541547
92,0.014209,47118
93,16.2614,40172598
94,1.82691,5625864
95,0.616099,1830456
96,0.065267,222807
97,0.02727,88081
98,0.001727,4486
99,0.008459,29297
100,0.049181,149330
101,0.072279,243459
102,0.339314,1053397
103,0.154717,469391
104,1.0196,3554547
105,0.324284,892996
106,1.10529,3414777
107,0.081956,254020
108,0.001572,4944
109,0.403975,1163224
111,2.21442,5794299
112,0.992329,2863207
113,0.053047,165822
114,0.00105,3382
115,0.001612,4508
116,8.29223,24690854
117,0.059756,195315
118,0.000378,982
119,0.001329,4154
120,0.284345,793300
121,7.47612,22602216
122,0.004585,14822
123,0.041994,117691
124,0.093635,295270
125,0.033558,71967
126,4.16883,11102142
127,0.028768,96498
128,0.006271,20155
129,0.003039,8900
130,0.008221,26583
131,0.278527,870711
132,0.021832,54683
133,0.157061,388042
134,0.330356,922464
135,0.000663,1699
136,0.047894,146485
137,1.18589,2975940
138,0.826546,2758055
139,0.030532,108361
140,0.009877,29618
141,0.056166,155871
142,0.090397,264725
143,9.15414,27231068
144,0.044646,142958
145,0.523522,1497572
146,0.000921,2797
147,3.22661,7851501
148,3.13341,9222722
149,0.000115,257
150,0.15521,460241
151,0.056073,124468
152,0.089271,219645
153,0.003363,10156
154,0.00141,4123
155,1.1627,3418053
156,0.116998,322658
157,0.000681,1918
158,0.004174,13821
159,0.048055,139555
160,0.030109,93234
161,0.00971,28162
162,0.256421,649823
163,1.3032,3142983
164,1.64887,4401166
165,0.073268,169464
166,0.658005,1955190
167,0.014249,37384
168,0.007728,24583
169,0.176955,468125
170,2.04999,6149572
171,0.071815,173742
172,0.656687,1896379
173,0.537857,1348234
174,4.7964,13402189
175,1.07343,3339270
176,0.595244,1523835
177,1.39255,3924495
178,0.085298,259217
179,0.101102,301217
180,0.010016,30646
181,1.25325,4037163
182,0.18628,510121
183,1.22329,3621178
184,0.606944,1783778
185,0.001608,4889
186,0.018069,60484
187,0.154819,416413
188,0.000475,1489
189,3.35779,8540110
190,0.606876,1722232
191,0.016876,55059
192,29.9428,77635239
193,3.22889,9245597
194,0.113737,342890
195,0.143019,395394
196,0.003722,10842
197,3.51593,8922681
198,0.189445,585772
199,1.87618,5551155
200,0.859187,2635482
201,0.007072,13948
202,5.71751,15537245
203,6.80896,21739735
204,0.074674,211959
205,0.002362,6477
206,0.943922,2699379
207,15.5111,46576093
208,0.580535,1618415
209,0.001246,3718
210,0.127666,385564
211,0.040147,135897
212,0.165271,527519
213,20.1491,58533809
214,0.01113,36778
215,0.002279,7507
216,0.014995,48638
218,0.010733,33270
219,0.006004,21643
220,0.13334,369164
221,0.067563,177057
222,0.173729,553888
223,0.016718,50181
224,0.006819,23036
225,0.024704,74193
226,0.003075,10177
227,0.053812,179719
228,2.1991,6365007
229,0.063344,137224
230,0.393745,1089509
231,1.88103,6039670
232,0.057406,210030
233,0.10882,340643
235,1.00959,2912408
236,0.02002,64859
237,4.16202,13355371
238,11.116,33007275
239,0.002617,8266
240,0.016632,53305
241,1.85949,5427270
242,0.708478,2233294
243,0.22657,686928
244,0.011509,38188
245,0.001232,3529
246,0.000747,2122
247,0.024319,83342
248,0.19247,580286
249,0.003581,11775
250,3.80902,11258804
251,0.645387,1948660
252,4.47775,12396932
253,19.7411,58574133
254,0.029032,86342
255,0.496716,1354924
256,2.87976,9480873
257,0.038568,131922
258,0.035088,117158
259,0.050152,144171
260,4.68526,14573689
261,2.45519,7359534
262,0.001251,3515
263,0.035357,111481
265,2.21905,6671145
266,6.41372,17664627
267,0.006329,18782
268,1.26177,3589624
269,0.001139,3250
270,0.002689,8458
271,0.003881,12638
272,0.039095,130138
273,0.304137,1001982
274,0.015686,29997
275,0.189971,521206
276,0.000237,651
277,0.000561,1409
278,0.305634,861545
279,0.023137,53563
280,21.1101,67181404
281,15.1446,43697851
282,0.014985,50189
283,0.260413,801292
284,0.393772,1038596
285,0.02561,72655
286,0.023997,59057
287,0.535162,1547890
288,0.604993,1972714
289,0.939503,2338140
290,0.04978,165635
291,0.165649,507131
292,0.014022,46480
293,0.008213,24754
295,0.005524,15692
296,0.050219,102055
297,0.018286,42567
298,1.39984,4434392
299,0.010817,29986
300,0.011712,40021
301,0.061688,193724
302,1.49604,4097054
303,0.010357,34583
304,0.00237,6947
305,0.254479,748195
306,0.001749,5430
307,0.004014,12156
308,0.03101,91929
309,5.00485,14276949
310,0.082673,238851
311,0.710726,1800088
312,0.000532,1313
313,0.155748,409439
314,0.003204,10091
315,0.781601,2101506
316,0.836389,2204390
317,0.003673,9892
318,0.277127,779500
319,0.11724,377477
320,0.055827,171704
321,11.6992,32953491
322,0.801917,2343524
323,0.05373,135782
324,0.227608,625666
325,0.000185,368
326,0.035062,98983
327,14.8843,43358014
328,0.027772,69384
330,0.326511,1046409
331,0.061404,188927
332,22.7984,69617329
333,0.019465,66937
334,0.404913,1206691
335,11.2987,34152588
336,0.000147,364
337,0.007957,24700
338,0.038026,120480
339,0.623649,1719408
340,0.067823,237244
341,0.02284,75745
342,6.43294,19052762
343,0.40542,1262961
344,0.09444,261033
345,5.19218,15611664
346,8.92793,24888116
347,0.017671,58841
348,0.003426,11278
349,0.04532,142743
350,0.015412,46434
351,6.66059,19481031
352,0.713685,2093772
353,0.039093,82084
354,0.082707,180144
355,0.007589,22376
356,0.028983,74993
357,1.76109,5422969
358,0.120421,350660
359,0.157248,500912
360,0.005089,14880
361,0.068884,203162
362,0.002677,7578
363,0.086767,224690
364,0.372804,1230874
365,1.01935,2922822
366,0.007831,24636
367,0.007768,25046
369,0.036646,125357
370,0.067131,196057
371,0.034127,79498
372,0.004281,13392
373,0.018909,52809
374,0.001131,2864
375,1.42772,4095541
376,0.012451,40345
377,0.097192,212602
378,7.07581,20388454
379,0.045305,148983
380,0.001708,5246
381,0.034314,105142
382,0.460977,1271815
383,1.30557,3982661
384,0.763394,2336566
385,0.073808,187896
386,28.2285,81200563
387,0.053469,168928
388,0.144604,373363
389,0.875718,2686528
391,2.5212,7314754
392,0.003072,9514
393,1.39245,3939716
394,0.002148,5279
395,0.701398,1890159
396,6.39132,17609444
397,0.637575,1749443
398,0.008857,27816
399,0.007009,14863
400,0.000271,610
401,0.652841,1658015
402,0.784072,2024452
403,0.039508,117468
404,0.006438,19896
405,0.176757,509518
406,0.176356,541396
407,0.215914,555924
408,0.15139,474366
409,0.002742,8702
410,0.060978,144358
411,0.098868,282785
412,0.013805,42941
413,0.054608,135640
414,0.244384,671375
415,0.01234,41371
416,0.028917,92882
417,0.509464,1422322
418,0.00055,1731
419,0.066803,177482
420,0.332415,964872
421,0.000466,1347
422,0.445686,1202951
423,1.45413,4115379
424,0.005692,18136
425,18.9496,54292821
427,1.52985,4823916
428,0.389991,1156407
429,0.007355,20896
430,0.745633,2105247
431,0.218075,640022
432,0.001816,5446
433,0.165374,487317
434,0.06071,200694
435,0.014442,49307
436,0.133658,428224
437,0.776516,2341932
438,0.28734,872998
439,0.007168,24034
440,0.032692,72902
441,0.222065,688005
442,0.068216,182580
443,0.029194,95696
444,0.945627,2716275
445,0.012341,39563
446,0.056032,188187
447,0.01053,34373
448,0.021332,76194
449,0.000526,1578
450,0.005115,17431
451,0.001637,5381
452,0.083863,234323
453,0.81258,2428085
454,0.008272,26746
455,0.062353,164386
456,0.17366,572640
457,0.040997,127578
458,0.008029,25299
459,0.002582,8360
460,0.084467,258365
461,0.654898,1914478
462,0.117632,353855
463,0.281171,904723
464,0.34841,1094068
465,0.029196,75856
466,0.002087,6121
467,0.036148,80943
468,0.199558,633238
469,0.002746,8868
470,0.00097,3241
471,0.010374,33610
472,0.654858,1787360
473,4.5557,14049147
474,0.052722,176434
475,0.036224,121490
476,3.02327,8664241
477,0.987151,2391669
478,0.004728,14495
479,0.811645,2365596
480,0.03773,135242
481,0.011717,29902
482,0.523226,1385450
483,0.042362,104327
484,0.010309,23160
485,3.66768,9835125
486,0.167038,454983
487,0.103601,328272
488,9.06374,25270324
489,0.086642,234249
490,0.872317,2500231
491,0.076421,150291
492,1.25109,3578243
493,0.003343,11591
494,0.001011,3070
495,1.99901,5752585
497,0.073075,178249
498,0.16616,485113
499,0.004264,13891
500,0.539822,1491908
501,0.000391,1147
502,0.014247,45816
503,0.064351,185043
504,0.002785,8061
505,2.09593,6050976
506,0.032806,92084
507,0.4052,1214365
508,0.315933,910679
509,2.43685,6531665
510,0.049457,155154
511,0.136728,465395
512,0.786946,2154746
513,0.045859,126730
514,0.022444,67809
515,14.7987,40503581
516,8.40095,25413899
517,0.476985,1448519
518,0.075481,229561
520,0.063043,204996
521,0.423566,1402494
522,0.814805,2401493
523,1.33064,4111314
524,1.08003,3108819
525,0.069411,206317
526,1.55985,4267903
527,0.02484,87750
528,20.5129,57710852
529,10.2065,29709909
530,3.95202,11849431
531,0.029628,100058
532,0.341384,1056686
534,0.096521,291196
535,0.001271,3817
536,0.021475,70257
537,0.015819,57167
538,0.920732,2719176
539,3.24804,9827075
540,0.448985,1411844
541,19.8103,60312110
542,0.074246,232077
543,0.099764,300617
544,0.072375,207145
545,2.4467,7188091
546,0.036951,90914
547,0.226778,599489
548,0.002707,6868
549,0.002725,8728
550,0.006239,17302
551,0.2397,761607
552,0.055993,165019
553,2.61357,8140711
554,0.034314,106080
555,0.227946,650412
556,0.446451,1263505
557,0.005791,16268
558,0.112091,334729
559,0.00093,2578
560,0.000873,2783
561,0.013825,41141
562,0.091259,296355
563,3.93763,11622115
564,0.305435,1034791
565,2.09614,6294040
566,1.09696,3470963
567,0.373926,1117588
568,1.56975,4340583
569,0.375222,1161772
570,0.451485,1425621
571,0.005415,18452
572,0.561026,1849644
573,0.001303,3344
575,0.327579,976131
576,15.046,44599682
577,3.59787,10465218
578,0.30363,886617
579,0.006455,21497
580,0.15335,439257
581,0.00619,19343
582,0.269339,812473
583,0.070176,237330
584,0.001851,5448
585,0.115253,352709
586,0.042942,120434
587,1.51528,4528571
588,0.399819,1141053
590,0.019863,61490
591,0.017604,57516
592,0.025742,84554
593,2.43539,8069039
594,12.8226,39826987
595,0.000864,2433
596,0.085868,272056
598,0.041482,111792
599,0.070198,202269
600,0.102487,313502
601,0.090587,247630
602,0.104538,330896
603,0.003826,12786
604,0.037342,99328
605,0.23078,677494
606,0.025618,66492
607,0.198542,567857
608,0.009026,29486
609,0.013247,42646
610,0.024414,63933
611,0.000524,1444
612,0.034314,88642
613,0.945487,2693528
614,0.001675,5347
615,0.017823,54264
616,0.008402,27885
617,0.341657,1001318
618,0.342488,1063682
619,0.095845,294246
620,22.3504,69056812
621,0.684746,2023473
622,0.095823,289972
623,0.0238,70333
624,0.576121,1485669
625,0.003129,10096
626,0.00121,3070
627,0.00138,4084
628,0.000173,446
629,0.371757,1098581
631,0.011603,37322
632,0.003901,11787
633,0.01093,34819
634,0.006968,22372
635,0.05511,155205
636,0.035009,117314
637,0.000866,2637
638,0.032587,104247
639,16.5337,43074198
640,0.001059,3154
641,1.1402,3590836
642,0.256066,742402
643,0.324,945453
644,1.26613,3724821
645,17.65,49087939
646,0.402584,1282702
648,12.4379,37693332
649,1.31668,3755774
650,3.04592,8461154
651,0.022107,64778
652,0.222708,654535
653,0.025691,78247
654,0.001257,4029
655,0.012998,42480
656,0.004217,14154
657,0.018159,59692
658,0.00151,4969
659,1.04339,3144733
660,0.175448,516227
661,0.080709,195578
662,0.001572,4254
663,0.003029,9412
664,0.702891,2056534
665,0.020994,61618
666,0.022013,75199
667,0.761421,1878814
668,0.22304,636871
669,1.30556,3946652
670,0.009586,29491
672,0.027952,70889
673,0.003506,10784
674,0.288557,890613
675,0.262105,688978
676,0.0138,44781
677,0.005703,20259
678,0.313423,948096
679,0.003567,11947
680,0.02801,94061
681,0.000701,1938
682,0.163408,506111
683,0.325484,913084
684,0.001039,3274
685,0.006791,22088
686,0.002508,8552
687,0.012147,42602
688,21.2678,67965320
689,0.006514,20653
690,0.012539,41015
691,0.038776,126943
692,0.030479,100227
693,0.146249,400926
694,0.073767,192188
696,0.001134,1734
697,0.454949,1193455
698,6.0799,17492537
699,0.001857,6190
700,0.267457,727676
701,6.77815,19751269
702,0.734078,2110290
703,0.442439,1532008
704,0.042812,139639
705,0.103255,270690
706,0.003062,9268
707,0.013167,44386
708,0.124286,400715
709,0.009768,31694
710,0.059836,125878
711,0.278823,836906
712,0.051659,136581
713,0.057287,157643
714,0.033004,121068
715,0.005962,15338
716,0.330994,1087058
717,0.019395,61408
718,0.013061,42697
719,0.134419,402892
720,1.51176,4668676
721,0.000699,1997
722,0.032011,103398
723,0.043323,136338
724,0.00413,12438
725,0.683039,2174510
726,0.003297,10025
727,0.036267,122557
728,0.050564,153926
729,2.03023,6182158
730,2.09131,6479871
731,0.05484,149601
732,0.018535,57933
733,0.080768,268300
734,0.004832,14079
735,0.024966,81725
736,0.307341,991647
737,0.688711,2085462
738,0.018424,65507
739,0.008696,25573
740,0.374279,1188730
741,0.000747,2036
742,1.31136,4256239
743,8.94033,27907449
745,0.204966,518144
746,0.015339,50464
747,0.984582,2828979
748,0.576239,1804202
749,0.137875,390287
750,0.00998,33067
752,0.015205,42739
753,14.4681,44569223
754,0.19571,559526
755,0.029731,76005
756,1.59066,4648290
757,0.000781,2198
758,0.124398,379538
759,6.28593,18461567
760,3.6156,11077756
761,10.3604,30433979
762,14.9053,46073647
763,0.109171,347192
764,0.006128,20891
765,0.033818,107325
766,19.4099,51133076
767,1.31855,4288095
768,0.042377,75063
769,0.003378,10195
770,0.071582,232127
771,0.001472,4598
772,0.500219,1392652
773,0.026873,66929
775,0.019322,45685
776,0.621347,1769105
777,0.002283,7591
778,0.052171,160651
779,0.043434,126952
780,0.05581,127238
781,0.313947,988797
782,0.05552,139946
783,1.2466,4397598
784,0.039668,120266
785,0.087746,233850
786,0.003003,10974
787,0.044669,95195
789,0.00011,207
790,0.230628,804914
791,0.022249,83549
792,1.29891,4593321
793,0.012445,41157
794,1.45031,5017790
795,0.15611,548073
796,0.098764,330062
797,2.2232,7740839
798,0.076583,248856
799,0.010245,35375
800,0.066613,246943
801,0.004439,14229
803,2.48647,9240434
804,0.0702,235974
805,0.024007,81233
807,0.002647,8184
808,0.012558,49109
809,2.62673,8383339
810,0.025038,73562
811,0.000444,1241
812,0.049455,169039
813,0.088698,272977
814,0.014662,50922
815,0.046493,129027
816,0.106131,386165
817,2.88585,9763423
818,1.28937,4621061
819,0.624549,2000090
820,0.012609,27489
821,0.625557,2185657
822,0.013821,34667
823,0.06332,178901
824,0.055256,134198
826,0.366296,1347000
827,0.002598,8576
828,0.189348,684957
829,1.50416,5420049
830,0.107536,340308
831,0.022238,72933
832,0.00593,19922
833,2.28887,8246956
836,0.333642,1238838
837,0.012818,43942
838,0.010353,34873
839,0.098904,338181
840,0.016098,58940
841,0.186165,626924
842,0.010983,34650
843,0.657375,2509510
844,6.12717,21336557
845,0.002388,7370
846,0.294659,1057934
847,0.020525,75520
848,0.098425,320859
849,0.911635,3053253
850,0.054337,189269
851,0.023567,89086
852,0.197005,707093
853,0.044732,160278
854,0.885538,2847118
855,0.052256,167035
856,0.457695,1517280
857,0.001728,5991
858,0.80077,2672273
859,11.6117,45100617
860,0.042451,141951
861,0.148089,514026
862,0.003618,11792
863,1.81972,6772310
864,0.004206,13426
865,8.22755,29631382
866,0.060236,193116
867,0.004319,14543
868,13.8418,47405140
869,0.002624,8181
870,0.121705,422045
871,0.082138,274844
872,0.012284,41997
873,0.563237,1929008
874,0.001653,5465
875,0.082789,275588
876,0.516572,1642977
877,0.017118,56643
878,0.213546,745675
879,0.086186,283867
880,0.011782,41263
881,0.043753,152417
882,0.305383,1056652
883,1.84388,5877508
884,0.005184,17721
885,0.130734,453348
886,0.335316,1133384
887,0.323377,1112859
888,0.038538,133808
889,0.018215,65703
890,8.71445,31777528
891,0.183521,614549
892,0.001626,5382
893,4.61901,17016741
894,0.255135,928461
895,2.22529,8021303
896,0.036957,129647
897,0.010713,37845
898,1.35107,4948440
899,0.008064,28117
900,0.324317,965618
901,0.150807,520592
902,0.079994,280793
903,0.000341,1047
904,0.00018,514
905,0.591104,1896148
906,0.339863,1223405
907,0.113092,427174
908,1.9608,6930555
909,0.002237,7537
910,0.016615,55170
911,2.14683,7621564
912,0.00409,15629
913,0.038207,123958
914,0.001028,3120
915,0.015669,53064
916,0.03955,130251
917,1.60696,5565377
918,21.4846,72770655
919,0.050016,171354
920,18.5371,66188582
921,0.00774,25956
922,2.17558,7726219
923,0.036564,120348
924,0.952275,3143492
925,0.946996,3413829
926,0.432914,1767495
927,0.045199,145312
928,0.006342,22317
929,0.028563,85798
930,0.569532,2011161
931,0.034496,114847
932,0.595425,1948753
933,0.018536,61825
934,0.116928,431003
935,0.000666,1738
936,0.152446,494369
937,0.40083,1519244
938,0.239838,784409
939,0.021443,73050
940,0.765133,2500119
941,0.551774,1769917
942,0.016818,59310
943,0.006214,20603
944,1.22178,4168652
945,0.060172,184579
946,0.103854,365218
947,11.4662,41104810
948,0.00317,11713
949,0.010343,38441
950,0.068271,230121
951,0.460334,1606645
952,0.227843,740028
954,0.139932,437053
955,0.021725,64777
957,0.002457,8653
958,0.003212,8950
959,0.211276,709558
960,0.117887,389575
961,3.08354,11508568
962,1.64872,6101727
963,0.437079,1630637
964,0.302033,842433
965,6.13581,20999197
966,0.002264,7363
967,0.046234,150526
968,0.000955,3228
969,0.240536,801976
970,0.12405,444199
971,0.841285,2755595
974,0.036256,128613
975,0.072935,242090
976,0.008246,27395
979,0.490495,1544789
980,0.207516,762248
981,0.518359,1655808
982,0.162456,547514
983,0.260577,897342
984,4.22864,13896873
985,0.004017,11707
987,0.059179,183571
988,0.000146,364
989,0.012708,30726
990,13.5747,46865452
991,0.782317,2775593
992,0.384965,1290435
993,0.623093,1947412
994,0.335639,1112329
995,0.215098,757516
996,1.00738,3421121
997,0.021443,70380
999,0.004848,16946
1000,0.048011,169146
1001,0.034992,118491
1002,0.039638,137524
1003,6.5028,20797804
